domain	type	id	path	tags	title
planning	plan	sot-meta01-plan	.hivemind/plans/META01-PLAN.md	meta,runtime,generated	Hivefiver runtime materialization trial
planning	plan	sot-meta01-sub01-plan	.hivemind/plans/META01-SUB01-PLAN.md	meta,sub,runtime	Parity drift isolation
planning	plan	sot-meta01-sub01-atomic01	.hivemind/plans/META01-SUB01-ATOMIC01.md	meta,atomic,runtime	Diff annotation and test mapping
planning	plan	sot-validation-meta01	.hivemind/plans/VALIDATION-META01.md	validation,meta	Validation META01
R6	other	sot-session-ses-34f7-investigation-and-research-of-another-team	session-ses_34f7-investigation-and-research-of-another-team.md		hivefiver agent architecture
R6	other	sot-session-ses-3502-this-session	session-ses_3502-this-session.md		Hivefiver-prime skill skeleton created (fork #1)
general	other	sot-skills-lock	skills-lock.json		skills-lock.json
general	other	sot-master-notice-board	MASTER-NOTICE-BOARD.md		MASTER-NOTICE-BOARD
general	other	sot-prd-backend	tasks/prd-backend.json		prd-backend.json
general	other	sot-prd-phase-b	tasks/prd-phase-b.json		prd-phase-b.json
general	other	sot-prd-frontend	tasks/prd-frontend.json		prd-frontend.json
general	other	sot-system-directives	SYSTEM-DIRECTIVES.md		SYSTEM DIRECTIVE: CONTEXT GOVERNANCE & AGENTIC WORKFLOW ORCHESTRATION
general	other	sot-marketing-canvas-sua-ong-tho-tet-2026-02-19	marketing-canvas-sua-ong-tho-tet-2026-02-19.md		Marketing Canvas: Sữa Ông Thọ - Chiến Dịch Tết
general	other	sot-changelog	CHANGELOG.md		Changelog
R4	other	sot-quality-gate-definitions	references/quality-gate-definitions.md		Quality Gate Definitions
R4	other	sot-research-quality-criteria	references/research-quality-criteria.md		Research Quality Criteria
general	other	sot-domain-boundaries	references/domain-boundaries.md		Domain Boundaries Reference
R2	other	sot-workflow-briefing	references/workflow-briefing.md		**Workflow Diagrams**
general	other	sot-hivemind-brownfield-checklist	references/hivemind-brownfield-checklist.md		Brownfield Integrity Checklist
R6	other	sot-session-ses-350e	session-ses_350e.md		Hivefiver-prime skill skeleton created
general	other	sot-agent-rules	AGENT_RULES.md		HiveMind v3.0 — Relational Cognitive Engine Constitution
general	other	sot-presentation-sua-ong-tho-tet-2026-02-19	presentation-sua-ong-tho-tet-2026-02-19.md		Slide Deck: Sữa Ông Thọ - Chiến Dịch Tết 2026
R2	other	sot-bug-remediation	workflows/bug-remediation.yaml		bug-remediation.yaml
R2	other	sot-hiverd-comparative-analysis	workflows/hiverd-comparative-analysis.yaml		hiverd-comparative-analysis.yaml
R2	other	sot-hiveq-gate-enforcement	workflows/hiveq-gate-enforcement.yaml		hiveq-gate-enforcement.yaml
R2	other	sot-hivefiver-enterprise-architect	workflows/hivefiver-enterprise-architect.yaml		hivefiver-enterprise-architect.yaml
R2	other	sot-hiveq-audit-workflow	workflows/hiveq-audit-workflow.yaml		hiveq-audit-workflow.yaml
R2	synthesis	sot-research-synthesis	workflows/research-synthesis.yaml		research-synthesis.yaml
R2	other	sot-hiveq-verification-pipeline	workflows/hiveq-verification-pipeline.yaml		hiveq-verification-pipeline.yaml
R2	other	sot-hiverd-deep-research	workflows/hiverd-deep-research.yaml		hiverd-deep-research.yaml
R2	other	sot-feature-sprint	workflows/feature-sprint.yaml		feature-sprint.yaml
R2	other	sot-hivefiver-mcp-fallback	workflows/hivefiver-mcp-fallback.yaml		hivefiver-mcp-fallback.yaml
R2	other	sot-hivemind-brownfield-bootstrap	workflows/hivemind-brownfield-bootstrap.yaml		hivemind-brownfield-bootstrap.yaml
R2	other	sot-hiveq-regression-suite	workflows/hiveq-regression-suite.yaml		hiveq-regression-suite.yaml
R2	spec	sot-spec-generation	workflows/spec-generation.yaml		spec-generation.yaml
R2	other	sot-hivefiver-vibecoder	workflows/hivefiver-vibecoder.yaml		hivefiver-vibecoder.yaml
R2	other	sot-verification-gate	workflows/verification-gate.yaml		verification-gate.yaml
R2	other	sot-hiverd-brainstorm-session	workflows/hiverd-brainstorm-session.yaml		hiverd-brainstorm-session.yaml
R2	synthesis	sot-hiverd-synthesis-pipeline	workflows/hiverd-synthesis-pipeline.yaml		hiverd-synthesis-pipeline.yaml
R2	other	sot-hivefiver-floppy-engineer	workflows/hivefiver-floppy-engineer.yaml		hivefiver-floppy-engineer.yaml
R1	other	sot-sequential-delegation-workflow	workflows/sequential-delegation-workflow.yaml		Domain Boundaries
R2	other	sot-hivefiver-enterprise	workflows/hivefiver-enterprise.yaml		hivefiver-enterprise.yaml
R1	other	sot-hiverd	agents/hiverd.md		Hiverd — Elite Research Specialist
R1	other	sot-hivehealer	agents/hivehealer.md		Hivehealer
R1	other	sot-hivemaker	agents/hivemaker.md		Hivemaker — Execution Specialist Agent
R1	other	sot-hivexplorer	agents/hivexplorer.md		Hivexplorer
R1	other	sot-hiveplanner	agents/hiveplanner.md		Hiveplanner
R1	other	sot-hiveq	agents/hiveq.md		Hiveq
R1	other	sot-hivefiver	agents/hivefiver.md		hivefiver.md
R1	other	sot-hitea	agents/hitea.md		HITEA — AI-Driven Testing Infrastructure Builder
R1	other	sot-hiveminder	agents/hiveminder.md		hiveminder.md
general	other	sot-hivemind-framework	HIVEMIND-FRAMEWORK.md		.HIVEMIND FRAMEWORK SYSTEM PROMPT
general	other	sot-custom-tools-opencode	docs/research/custom-tools-opencode.md		custom-tools-opencode.md
general	other	sot-opencode-worth-learning-in-sdk	docs/research/opencode-worth-learning-in-sdk.md		opencode-worth-learning-in-sdk.md
general	other	sot-hivefiver-mcp-quickstart-wizard	docs/research/hivefiver-mcp-quickstart-wizard.md		HiveFiver MCP Quickstart Wizard
R1	other	sot-opencode-agents	docs/research/opencode-agents.md		opencode-agents.md
general	other	sot-innate-opencode-tools	docs/research/innate-opencode-tools.md		innate-opencode-tools.md
general	other	sot-oepncode-the-sdk	docs/research/oepncode-the-sdk.md		oepncode-the-sdk.md
R3	other	sot-hivefiver-mcp-setup-context7	docs/research/hivefiver-mcp-setup-context7.md		HiveFiver MCP Setup - Context7
general	other	sot-hivefiver-mcp-setup-deepwiki	docs/research/hivefiver-mcp-setup-deepwiki.md		HiveFiver MCP Setup - DeepWiki
general	other	sot-use-commands-to-chain-activate-automation	docs/research/use-commands-to-chain-activate-automation.md		use-commands-to-chain-activate-automation.md
general	other	sot-hivefiver-mcp-setup-exa	docs/research/hivefiver-mcp-setup-exa.md		HiveFiver MCP Setup - Exa
general	other	sot-hivefiver-skill-discovery-cross-domain	docs/research/hivefiver-skill-discovery-cross-domain.md		HiveFiver Cross-Domain Skill Discovery
R1	other	sot-opencode-agent-skills	docs/research/opencode-agent-skills.md		opencode-agent-skills.md
general	other	sot-hivefiver-mcp-setup-repomix	docs/research/hivefiver-mcp-setup-repomix.md		HiveFiver MCP Setup - Repomix
R1	other	sot-opencode-agent-systemic-failures-2026-02-16	docs/research/opencode-agent-systemic-failures-2026-02-16.md		Deep Research: OpenCode Agent Systemic Failures & Solutions
general	other	sot-opencode-plugins	docs/research/opencode-plugins.md		opencode-plugins.md
R3	other	sot-hivefiver-deepwiki-qa-transform	docs/research/hivefiver-deepwiki-qa-transform.md		HiveFiver DeepWiki QA Transform Guide
general	other	sot-opencode-permissions	docs/research/opencode-permissions.md		opencode-permissions.md
